     Running target/debug/deps/linear-954046c625e7059d

running 1 test
buf_size,num_cores,num_accesses,percent_writes,stm_ops_per_sec,swym_o_ops_per_sec
128,16,6,0.15,1676262.5197390688,228110.94048517395
128,16,6,0.2,1639025.5315996762,169360.8929815127
128,16,6,0.25,1621543.932086789,135176.2330892601
128,16,6,0.3,1555534.2616021682,113774.74532757272
128,16,6,0.35,1580117.7617404857,96969.64634232542
128,16,6,0.4,1587808.209369851,84570.14918788419
128,16,6,0.45,1571281.9180311437,75763.08034092515
128,16,6,0.5,1569387.9145833598,69433.66422098629
128,16,6,0.55,1572595.8266269471,64938.388780017434
128,16,6,0.6,1560785.9739599577,60109.51460880452
128,16,6,0.65,1596732.1113139938,56790.741264636985
128,16,6,0.7,1612390.4160800278,54168.47646242087
128,16,6,0.75,1602481.3720165896,50968.4907332734
128,16,6,0.8,1614069.7151829295,49749.4819223775
128,16,6,0.85,1594645.7614315662,47729.82540129933
128,16,6,0.9,1612019.235644841,46881.60986501024
128,16,6,0.95,1613173.8910223497,46622.51697642187
128,16,6,1,1609196.1639060725,45989.34706848774
256,8,12,0,2281869.7787997364,137753078.23302895
256,8,12,0.05,1772644.1937707092,358370.47972677764
256,8,12,0.1,1499878.226144018,187171.54312876996
256,8,12,0.15,1386213.8957273061,122897.61150134799
256,8,12,0.2,1316285.0037599453,91568.10431638002
256,8,12,0.25,1282089.5767312206,76715.56738248924
256,8,12,0.3,1266556.1577760973,64792.17937958617
256,8,12,0.35,1287870.9340297831,57069.31539769107
256,8,12,0.4,1252737.001884482,52133.56935046889
256,8,12,0.45,1273373.3149026467,47799.574656612655
256,8,12,0.5,1221823.9015384035,44717.92581175963
256,8,12,0.55,1235232.3823102477,40891.83276314301
256,8,12,0.6,1240729.8787749112,39070.429078055575
256,8,12,0.65,1249204.7064601588,36873.39644900296
256,8,12,0.7,1238436.9547087557,35333.131753996095
256,8,12,0.75,1261247.249809233,33638.1521895052
256,8,12,0.8,1259998.8876946094,32894.61829069637
256,8,12,0.85,1254332.0459705435,31077.811867004402
256,8,12,0.9,1248015.6909778207,30453.873290677955
256,8,12,0.95,1279795.97802784,28903.36103844683
256,8,12,1,1308668.4056647718,28176.218216167246
256,16,12,0,1816792.0075515634,243762121.97056663
256,16,12,0.05,1541939.7308481422,173115.82817080367
256,16,12,0.1,1347016.5895899103,82012.84497564023
256,16,12,0.15,1234768.917333821,52350.783369191406
256,16,12,0.2,1192411.5053677834,40995.62757539475
256,16,12,0.25,1159898.4188437327,33195.039398204084
256,16,12,0.3,1152459.1375022563,28396.241135476626
256,16,12,0.35,1080334.136595324,25380.534840983753
256,16,12,0.4,1093125.961698407,22658.542825378576
256,16,12,0.45,1092286.936157764,20901.815716161665
256,16,12,0.5,1080939.7768554294,19730.821328824484
256,16,12,0.55,1044985.4860110289,18436.75768258383
256,16,12,0.6,1086241.1735344261,17422.88888472507
256,16,12,0.65,1053659.0307888512,16647.08884975717
256,16,12,0.7,1057632.3566184589,15824.97191897116
256,16,12,0.75,1055470.4275067863,15303.615307684502
256,16,12,0.8,1091029.061605034,14772.144902100212
256,16,12,0.85,1076441.889073264,14413.545652265171
256,16,12,0.9,1116016.9946475215,13994.997208581042
256,16,12,0.95,1075851.5328864602,13764.051462399288
256,16,12,1,1094168.7575898336,13352.728612736963
Test complete. Took 785.706594423s ... test linear3 has been running for over 60 seconds
test linear3 ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 40 filtered out
