     Running target/debug/deps/linear-954046c625e7059d

running 1 test
buf_size,num_cores,num_accesses,percent_writes,stm_ops_per_sec,swym_ops_per_sec
128,8,6,0.55,1761973.3701746326,247026.88099095962
128,8,6,0.6,1752644.417186344,229658.33824194482
128,8,6,0.65,1767224.944128315,210406.28021828647
128,8,6,0.7,1742843.8007926843,193547.4268812492
128,8,6,0.75,1766816.2261105145,177640.24219445334
128,8,6,0.8,1778090.5942434259,166104.1219471541
128,8,6,0.85,1762703.4867900212,153628.37789277168
128,8,6,0.9,1763410.5863812459,144271.50564184846
128,8,6,0.95,1787092.497989338,134845.16494492747
128,8,6,1,1814939.8982677138,128707.39051408164
128,16,6,0,1999852.4556686033,366898308.7186243
128,16,6,0.05,1858728.313531902,2625524.2593969363
128,16,6,0.1,1791722.3593661147,1305989.848153224
128,16,6,0.15,1708595.9382550481,750447.7628752122
128,16,6,0.2,1660813.8396613316,523584.94009354647
128,16,6,0.25,1647370.0116553314,386116.73784491274
128,16,6,0.3,1618434.9311903205,298286.1693256987
128,16,6,0.35,1602655.556866533,236950.97266601998
128,16,6,0.4,1606851.7470222344,194534.94980360844
128,16,6,0.45,1533348.6733156051,162953.22824237763
128,16,6,0.5,1530294.1884842715,143648.11168576338
128,16,6,0.55,1530507.1359796508,124431.18855347003
128,16,6,0.6,1531273.0181534889,111213.93325891571
128,16,6,0.65,1533926.3093732996,98774.85030286739
128,16,6,0.7,1497181.1157741302,90995.15702479171
128,16,6,0.75,1501260.8745351168,82563.33979484862
128,16,6,0.8,1525162.1847333643,76871.0478741792
128,16,6,0.85,1517039.3734452398,71685.96293802353
128,16,6,0.9,1567372.4002735238,67735.29013555111
128,16,6,0.95,1572702.0617776567,63258.33693758528
128,16,6,1,1569766.4298474777,59866.49972542672
256,8,12,0,2223273.5384104964,139557360.81360134
256,8,12,0.05,1702992.0130614222,890571.1192621639
256,8,12,0.1,1511622.887023628,500152.891308788
256,8,12,0.15,1387200.3380768471,339714.98199706496
256,8,12,0.2,1320785.5189591714,254909.0664159823
256,8,12,0.25,1265238.3633572015,204690.76779756192
256,8,12,0.3,1246669.1124858398,163695.1694600826
256,8,12,0.35,1225643.591735513,135801.77824152986
256,8,12,0.4,1211964.5747727354,113919.1322153648
256,8,12,0.45,1207250.9796025683,98528.45455362319
256,8,12,0.5,1198301.0249823993,88463.31691366226
256,8,12,0.55,1191477.4388842057,76876.72665269059
256,8,12,0.6,1198009.3284902468,70326.61140846828
256,8,12,0.65,1192148.3250316032,62366.771920400664
256,8,12,0.7,1191502.6410024157,57773.48265004983
256,8,12,0.75,1195243.8301150096,53216.793668289094
256,8,12,0.8,1210341.2629882097,49235.64021008868
256,8,12,0.85,1203089.8523297252,45996.09172947836
256,8,12,0.9,1210942.1693002663,43524.60450792414
256,8,12,0.95,1223069.5394348155,40846.71490604513
256,8,12,1,1223549.1260981956,38827.95272951928
256,16,12,0,1681768.4721186836,247772657.7967742
256,16,12,0.05,1435439.5086997475,851075.6516566434
256,16,12,0.1,1293254.5225071022,352195.8529125393
256,16,12,0.15,1242934.4794472982,199100.14309523875
256,16,12,0.2,1188235.0581303933,135472.2942983682
256,16,12,0.25,1153659.1129378953,97862.90924921975
256,16,12,0.3,1117208.4937945441,74455.00283606768
256,16,12,0.35,1180920.0306138925,61044.890467334066
256,16,12,0.4,1090899.7866997586,51857.702899166536
256,16,12,0.45,1113426.5989481586,45043.43546969787
256,16,12,0.5,1073961.8618556345,39467.14730682747
256,16,12,0.55,1061037.6304422317,35231.1136914707
256,16,12,0.6,1119603.1404351627,31843.082333652746
256,16,12,0.65,1048925.1471978491,29372.455327700627
256,16,12,0.7,1116371.2740282733,27112.407306529032
256,16,12,0.75,1117889.0106589373,25255.11575798458
256,16,12,0.8,1109256.8253102808,23323.714056922803
256,16,12,0.85,1107498.5105939226,21946.625332076437
256,16,12,0.9,1104326.7726585192,20789.335544963167
256,16,12,0.95,1106611.7688111463,19828.339058088757
256,16,12,1,1119488.540748942,18715.204745860872
Test complete. Took 785.97404867s ... test linear3 has been running for over 60 seconds
test linear3 ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 40 filtered out
