     Running target/debug/deps/linear-954046c625e7059d

running 1 test
buf_size,num_cores,percent_accessed,percent_writes,stm_ops_per_sec,swym_ops_per_sec,stm_ops,swym_ops
128,16,0.65,0.05,556755.8372778458,6258.496093671339,1670278,18795
128,16,0.7,0.05,518753.6750300552,5923.738905951163,1556273,17793
128,16,0.75,0.05,491871.32425412646,5550.054803128877,1475626,16670
128,16,0.8,0.05,476080.0104454712,5335.42214727514,1428254,16025
128,16,0.85,0.05,451388.1119852848,5131.547844978215,1354175,15412
128,16,0.9,0.05,438980.83334136463,4901.4217635639025,1316957,14723
128,16,0.95,0.05,427693.18658053724,4778.009890226791,1283093,14352
128,16,1,0.05,401647.3283399908,4591.660402719573,1204955,13792
256,8,0.05,0.05,1848739.2454359913,895229.4119109347,5546258,2685698
256,8,0.1,0.05,1202756.2836667832,183268.66402846016,3608274,549829
256,8,0.15,0.05,901588.7621646505,48299.74070129765,2704771,144909
256,8,0.2,0.05,752627.9653957336,22399.56876250493,2257890,67204
256,8,0.25,0.05,643870.0831522552,13505.252054852144,1931614,40524
256,8,0.3,0.05,567049.4900499405,9640.508625850342,1701156,28929
256,8,0.35,0.05,499503.8208335474,7701.514421884525,1498517,23116
256,8,0.4,0.05,460998.12902563246,6327.063726137874,1383002,18991
256,8,0.45,0.05,439062.19238095393,5560.36732120972,1317192,16692
256,8,0.5,0.05,416798.6513784971,5014.047953622442,1250400,15052
256,8,0.55,0.05,369749.1436038389,4685.769352389159,1109251,14066
256,8,0.6,0.05,345412.13143550634,4348.941719802705,1036242,13058
256,8,0.65,0.05,313302.8455416598,4044.3076060151907,939914,12141
256,8,0.7,0.05,306788.7666653649,3789.154817113648,920371,11376
256,8,0.75,0.05,277848.2264102324,3522.4824474989323,833551,10579
256,8,0.8,0.05,279412.1716252737,3350.4477272012177,838241,10059
256,8,0.85,0.05,255892.66745303862,3187.181232201937,767685,9572
256,8,0.9,0.05,240707.71415931045,3018.7017891047867,722130,9064
256,8,0.95,0.05,231772.66356580745,2860.67708729496,695323,8589
256,8,1,0.05,223626.8600795791,2727.188377876603,670885,8191
256,16,0.05,0.05,1514328.9139786456,832360.8614723289,4542997,2497142
256,16,0.1,0.05,1035282.182404323,77734.20614663567,3105864,233253
256,16,0.15,0.05,802496.8572437239,22137.32087331154,2407503,66435
256,16,0.2,0.05,648216.1695774766,11823.49691800142,1944665,35495
256,16,0.25,0.05,590425.7392150501,8328.064422588339,1771288,24999
256,16,0.3,0.05,504894.0278954076,6739.568734080868,1514693,20237
256,16,0.35,0.05,454111.6684854295,5820.704026712498,1362345,17480
256,16,0.4,0.05,416096.77202145744,5226.511207166827,1248306,15697
256,16,0.45,0.05,381387.3611824073,4762.8210617303275,1144172,14310
256,16,0.5,0.05,358151.908353215,4429.778952808637,1074468,13308
256,16,0.55,0.05,331706.6906410256,4168.240391806264,995131,12524
256,16,0.6,0.05,320978.9275765734,3907.4221996197657,962950,11741
256,16,0.65,0.05,289103.5300678801,3671.822030919207,867326,11034
256,16,0.7,0.05,280898.7580536599,3458.6134141508023,842705,10394
256,16,0.75,0.05,267278.80058882316,3267.999305793509,801851,9823
256,16,0.8,0.05,261761.4991855292,3145.236060148733,785298,9452
256,16,0.85,0.05,245823.49750347828,2992.7781664333957,737482,8995
256,16,0.9,0.05,216722.8707069035,2836.979258776799,650181,8531
256,16,0.95,0.05,218587.21773667666,2728.5518127700143,655777,8200
256,16,1,0.05,215922.68629657317,2624.8814051384197,647781,7890
Test complete. Took 733.060138527s ... test linear2 has been running for over 60 seconds
test linear2 ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 40 filtered out
