
running 1 test
buf_size,num_cores,percent_accessed,percent_writes,stm_ops_per_sec,swym_o_ops_per_sec,stm_ops,swym_ops
128,16,0.8,0.05,459241.04034808814,3829.9545537166628,1377736,11507
128,16,0.85,0.05,430900.2110546476,3679.508457865781,1292713,11058
128,16,0.9,0.05,439416.1318568299,3518.6955060751734,1318259,10574
128,16,0.95,0.05,418756.07500980183,3427.6389544488948,1256283,10299
128,16,1,0.05,396220.811702316,3273.96463935127,1188674,9840
256,8,0.05,0.05,1775834.5450679464,343389.3760381717,5327509,1030196
256,8,0.1,0.05,1174383.5453385226,41464.30689857746,3523157,124404
256,8,0.15,0.05,901308.3919095211,14718.241623410253,2703941,44166
256,8,0.2,0.05,737062.7267822765,8018.126328025292,2211193,24061
256,8,0.25,0.05,610871.3215316633,5628.3045494168355,1832621,16894
256,8,0.3,0.05,548859.1044307024,4549.475095509341,1646582,13659
256,8,0.35,0.05,480776.545009916,3923.8333636174275,1442334,11779
256,8,0.4,0.05,448115.13650284725,3621.7473774934733,1344350,10875
256,8,0.45,0.05,422423.6731672426,3316.850635948148,1267275,9960
256,8,0.5,0.05,375388.8421517642,3113.0620673899602,1126172,9348
256,8,0.55,0.05,344459.13912861707,2925.1400194020925,1033384,8785
256,8,0.6,0.05,327398.713488828,2725.2085076994567,982204,8183
256,8,0.65,0.05,300180.1684674459,2590.4857298143374,900545,7779
256,8,0.7,0.05,294209.47030089755,2469.7856103450063,882634,7417
256,8,0.75,0.05,284218.49098929187,2345.430837574793,852660,7046
256,8,0.8,0.05,270774.2143343145,2235.289332249941,812328,6716
256,8,0.85,0.05,244944.21295850328,2135.3338221896142,734836,6414
256,8,0.9,0.05,248471.98434568464,2038.460600795779,745421,6124
256,8,0.95,0.05,245986.7091650883,1962.7505662783346,737965,5897
256,8,1,0.05,229447.1500743804,1896.505264907341,688345,5697
256,16,0.05,0.05,1493535.1867296814,171962.39465070918,4480616,515908
256,16,0.1,0.05,1023674.1447999575,18493.893868080035,3071035,55515
256,16,0.15,0.05,778461.8613294273,8443.66163900053,2335399,25353
256,16,0.2,0.05,668235.1868179742,6100.155872804153,2004719,18316
256,16,0.25,0.05,599732.8479677127,5059.768502954056,1799210,15195
256,16,0.3,0.05,506565.2050629091,4515.197674096067,1519713,13566
256,16,0.35,0.05,436941.4841037237,4064.604519848614,1310840,12211
256,16,0.4,0.05,407620.68757390365,3709.4863680915073,1222873,11147
256,16,0.45,0.05,377814.2125901742,3422.8011408556617,1133457,10285
256,16,0.5,0.05,358704.4334760791,3172.4839687264857,1076126,9535
256,16,0.55,0.05,341047.105014696,2968.04706836849,1023153,8920
256,16,0.6,0.05,307518.11201590963,2797.0524516870073,922568,8407
256,16,0.65,0.05,302489.32305051945,2644.6366849374754,907478,7949
256,16,0.7,0.05,264644.8093848747,2512.504802555861,793943,7558
256,16,0.75,0.05,253673.28090931303,2394.371888353835,761033,7199
256,16,0.8,0.05,257245.07752969314,2294.6544147842133,771750,6899
256,16,0.85,0.05,232589.1334382457,2184.6381722764827,697779,6575
256,16,0.9,0.05,234359.78752584572,2088.9496793190983,703095,6284
256,16,0.95,0.05,212891.6215679113,2000.1770439194752,638686,6018
256,16,1,0.05,212309.2048314242,1931.8009272177787,636939,5812
Test complete. Took 732.704001204s ... test linear2 has been running for over 60 seconds
test linear2 ... ok

test result: ok. 1 passed; 0 failed; 0
